Edad;Sexo;Periodo;Total
De 45 a 49 años;Mujeres;2017;17,63
De 45 a 49 años;Mujeres;2016;19,57
De 45 a 49 años;Mujeres;2015;22,79
De 45 a 49 años;Mujeres;2014;23,11
De 45 a 49 años;Mujeres;2013;23,82
De 45 a 49 años;Mujeres;2012;22,16
De 45 a 49 años;Mujeres;2011;19,13
De 45 a 49 años;Mujeres;2010;17,28
De 45 a 49 años;Mujeres;2009;14,76
De 45 a 49 años;Mujeres;2008;9,51
De 45 a 49 años;Mujeres;2007;8,52
De 45 a 49 años;Mujeres;2006;8,3
De 50 a 54 años;Ambos sexos;2021;12,21
De 50 a 54 años;Ambos sexos;2020;12,28
De 50 a 54 años;Ambos sexos;2019;12,49
De 50 a 54 años;Ambos sexos;2018;13,57
De 50 a 54 años;Ambos sexos;2017;15,21
De 50 a 54 años;Ambos sexos;2016;17,37
De 50 a 54 años;Ambos sexos;2015;18,92
De 50 a 54 años;Ambos sexos;2014;20,6
De 50 a 54 años;Ambos sexos;2013;21,3
De 50 a 54 años;Ambos sexos;2012;19,71
De 50 a 54 años;Ambos sexos;2011;16,21
De 50 a 54 años;Ambos sexos;2010;14,72
De 50 a 54 años;Ambos sexos;2009;12,71
De 50 a 54 años;Ambos sexos;2008;8,24
De 50 a 54 años;Ambos sexos;2007;6,4
De 50 a 54 años;Ambos sexos;2006;6,17
De 50 a 54 años;Hombres;2021;9,96
De 50 a 54 años;Hombres;2020;10,63
De 50 a 54 años;Hombres;2019;10,44
De 50 a 54 años;Hombres;2018;11,85
De 50 a 54 años;Hombres;2017;13,39
De 50 a 54 años;Hombres;2016;15,67
De 50 a 54 años;Hombres;2015;18,03
De 50 a 54 años;Hombres;2014;19,86
De 50 a 54 años;Hombres;2013;20,81
De 50 a 54 años;Hombres;2012;19,53
De 50 a 54 años;Hombres;2011;16,01
De 50 a 54 años;Hombres;2010;14,49
De 50 a 54 años;Hombres;2009;11,72
De 50 a 54 años;Hombres;2008;6,82
De 50 a 54 años;Hombres;2007;4,78
De 50 a 54 años;Hombres;2006;4,04
De 50 a 54 años;Mujeres;2021;14,8
De 50 a 54 años;Mujeres;2020;14,22
De 50 a 54 años;Mujeres;2019;14,85
De 50 a 54 años;Mujeres;2018;15,6
De 50 a 54 años;Mujeres;2017;17,37
De 50 a 54 años;Mujeres;2016;19,42
De 50 a 54 años;Mujeres;2015;19,97
De 50 a 54 años;Mujeres;2014;21,5
De 50 a 54 años;Mujeres;2013;21,89
De 50 a 54 años;Mujeres;2012;19,94
De 50 a 54 años;Mujeres;2011;16,47
De 50 a 54 años;Mujeres;2010;15,02
De 50 a 54 años;Mujeres;2009;14,09
De 50 a 54 años;Mujeres;2008;10,28
De 50 a 54 años;Mujeres;2007;8,82
De 50 a 54 años;Mujeres;2006;9,52
De 55 a 59 años;Ambos sexos;2021;13,55
De 55 a 59 años;Ambos sexos;2020;12,5
De 55 a 59 años;Ambos sexos;2019;12,65
De 55 a 59 años;Ambos sexos;2018;13,81
De 55 a 59 años;Ambos sexos;2017;15,68
De 55 a 59 años;Ambos sexos;2016;17,52
De 55 a 59 años;Ambos sexos;2015;19,58
De 55 a 59 años;Ambos sexos;2014;21,47
De 55 a 59 años;Ambos sexos;2013;20,65
De 55 a 59 años;Ambos sexos;2012;18,95
De 55 a 59 años;Ambos sexos;2011;16,02
De 55 a 59 años;Ambos sexos;2010;15,07
De 55 a 59 años;Ambos sexos;2009;12,7
De 55 a 59 años;Ambos sexos;2008;7,65
De 55 a 59 años;Ambos sexos;2007;6,18
De 55 a 59 años;Ambos sexos;2006;6,2
De 55 a 59 años;Hombres;2021;11,34
De 55 a 59 años;Hombres;2020;11,01
De 55 a 59 años;Hombres;2019;11,68
De 55 a 59 años;Hombres;2018;12,73
De 55 a 59 años;Hombres;2017;14,98
De 55 a 59 años;Hombres;2016;17,34
De 55 a 59 años;Hombres;2015;19,68
De 55 a 59 años;Hombres;2014;21,99
De 55 a 59 años;Hombres;2013;21,06
De 55 a 59 años;Hombres;2012;18,92
De 55 a 59 años;Hombres;2011;15,89
De 55 a 59 años;Hombres;2010;15,04
De 55 a 59 años;Hombres;2009;11,63
De 55 a 59 años;Hombres;2008;6,65
De 55 a 59 años;Hombres;2007;5,06
De 55 a 59 años;Hombres;2006;5,11
De 55 a 59 años;Mujeres;2021;16,1
De 55 a 59 años;Mujeres;2020;14,26
De 55 a 59 años;Mujeres;2019;13,82
De 55 a 59 años;Mujeres;2018;15,14
De 55 a 59 años;Mujeres;2017;16,57
De 55 a 59 años;Mujeres;2016;17,74
De 55 a 59 años;Mujeres;2015;19,45
De 55 a 59 años;Mujeres;2014;20,78
De 55 a 59 años;Mujeres;2013;20,1
De 55 a 59 años;Mujeres;2012;18,98
De 55 a 59 años;Mujeres;2011;16,19
De 55 a 59 años;Mujeres;2010;15,11
De 55 a 59 años;Mujeres;2009;14,38
De 55 a 59 años;Mujeres;2008;9,35
De 55 a 59 años;Mujeres;2007;8,17
De 55 a 59 años;Mujeres;2006;8,19
De 60 a 64 años;Ambos sexos;2021;13,27
De 60 a 64 años;Ambos sexos;2020;12,51
De 60 a 64 años;Ambos sexos;2019;12,63
De 60 a 64 años;Ambos sexos;2018;13,7
De 60 a 64 años;Ambos sexos;2017;14,62
De 60 a 64 años;Ambos sexos;2016;16,07
De 60 a 64 años;Ambos sexos;2015;16,65
De 60 a 64 años;Ambos sexos;2014;16,94
De 60 a 64 años;Ambos sexos;2013;18,74
De 60 a 64 años;Ambos sexos;2012;16,19
De 60 a 64 años;Ambos sexos;2011;13,34
De 60 a 64 años;Ambos sexos;2010;12,61
De 60 a 64 años;Ambos sexos;2009;10,94
De 60 a 64 años;Ambos sexos;2008;6,83
De 60 a 64 años;Ambos sexos;2007;5,57
De 60 a 64 años;Ambos sexos;2006;4,93
De 60 a 64 años;Hombres;2021;12,41
De 60 a 64 años;Hombres;2020;12,23
De 60 a 64 años;Hombres;2019;11,62
De 60 a 64 años;Hombres;2018;12,68
De 60 a 64 años;Hombres;2017;14,58
De 60 a 64 años;Hombres;2016;15,9
De 60 a 64 años;Hombres;2015;16,21
De 60 a 64 años;Hombres;2014;17,21
De 60 a 64 años;Hombres;2013;18,64
De 60 a 64 años;Hombres;2012;16,48
De 60 a 64 años;Hombres;2011;14,41
De 60 a 64 años;Hombres;2010;13,25
De 60 a 64 años;Hombres;2009;10,85
De 60 a 64 años;Hombres;2008;6,12
De 60 a 64 años;Hombres;2007;4,91
De 60 a 64 años;Hombres;2006;4,65
De 60 a 64 años;Mujeres;2021;14,26
De 60 a 64 años;Mujeres;2020;12,86
De 60 a 64 años;Mujeres;2019;13,86
De 60 a 64 años;Mujeres;2018;14,98
De 60 a 64 años;Mujeres;2017;14,68
De 60 a 64 años;Mujeres;2016;16,27
De 60 a 64 años;Mujeres;2015;17,22
De 60 a 64 años;Mujeres;2014;16,59
De 60 a 64 años;Mujeres;2013;18,86
De 60 a 64 años;Mujeres;2012;15,78
De 60 a 64 años;Mujeres;2011;11,77
De 60 a 64 años;Mujeres;2010;11,59
